min,max,mean,variance,std
53,87,72.1616,51.56588544000001,7.180939036087134
60,89,79.4448,22.982952960000002,4.794053917093549
75,94,87.5072,18.08034816,4.252099265068961
68,88,80.76,17.408,4.172289539329696
67,88,79.6944,22.85860864,4.781067730120543
52,83,70.6704,42.51216384,6.52013526240062
55,81,67.0832,38.94027776,6.240214560413769
52,77,64.8352,34.18244096,5.8465751478964165
69,85,76.7904,8.552867840000001,2.9245286526207948
66,88,80.6672,16.01404416,4.001755134937669
76,93,83.2112,13.033794559999999,3.6102346959719944
69,91,80.0944,13.675888639999998,3.6980925677976204
65,87,79.2976,27.117834240000004,5.2074786835857525
76,90,84.0064,9.871959040000002,3.141967383662663
74,90,82.3584,14.178749440000002,3.7654680240310103
69,96,83.7504,47.10889984000001,6.863592342206813
91,109,100.1424,22.13812224,4.705116602168324
89,115,99.9248,28.28074496,5.3179643624229
79,119,103.7472,38.08649216,6.1714254560838695
59,107,80.608,73.15353599999999,8.552984040672587
72,92,81.4784,27.788733440000005,5.271502009863982
69,102,84.5152,34.29456896,5.8561565006410135
60,82,69.704,15.155583999999998,3.893017338774642
69,84,77.5152,8.822568960000002,2.970280956407996
67,97,80.6048,85.95741695999999,9.271322287570419
77,99,90.6576,18.83956224,4.340456455259055
83,94,91.1888,3.2763545599999997,1.8100703190760297
69,92,83.6912,30.46944256,5.519913274681043
67,88,77.2592,12.844815359999998,3.5839664284141945
68,85,77.3024,10.95335424,3.309585206638439
65,86,76.7072,27.192668159999997,5.21465896871502
65,82,74.5904,9.71062784,3.1161880302703175
2,78,69.3488,50.74553856,7.123590285803922
1,93,78.2736,86.47394303999998,9.299136682509832
71,93,81.9584,17.40946944,4.172465630775165
69,86,78.8112,12.239554559999998,3.498507476053181
74,85,80.464,3.2855039999999995,1.8125959284959237
73,89,81.0768,14.678901759999999,3.831305490299618
79,90,85.8464,7.707607040000001,2.7762577401963244
77,90,84.0976,8.081674240000002,2.8428285632447134
77,97,89.4672,21.84572416,4.673940966678976
77,96,89.0352,14.44996096,3.8013104266818307
81,101,94.4032,12.17982976,3.4899612834528697
79,121,99.6992,124.79271935999999,11.171066169350174
87,128,109.9552,88.69559296,9.417833772158012
83,111,104.0992,34.52135936,5.875488010369862
58,109,83.6736,96.65186304000001,9.831167938754785
56,94,77.9152,83.22640896,9.122850922820124
56,82,70.8112,26.956354559999994,5.191950939675759
57,102,75.072,44.854015999999994,6.697314088498462
58,104,87.2592,96.91521536,9.844552572869933
90,110,98.8656,29.34513664,5.4171151584584205
76,98,88.4512,28.663618559999996,5.353841476921033
73,98,86.5472,24.34697216,4.934265108402669
69,91,81.4304,24.20035584,4.919385717749727
68,92,82.3536,27.774167039999995,5.270120211152682
73,84,80.0624,4.40730624,2.0993585305992877
67,82,76.3296,13.31536384,3.649022312894236
64,79,72.4368,8.03800576,2.835137696832378
