min,max,mean,variance,std
85,131,114.8252,66.19944496,8.136304133941897
90,139,113.6292,90.63810736,9.520404789713513
98,148,129.1656,138.49577664,11.768422861199372
120,166,148.0648,106.45260096,10.317586973706595
143,175,158.4712,34.25477056,5.852757517615094
121,156,142.0428,47.58656816,6.898301831610444
103,141,127.0004,79.94119984,8.940984276912694
70,136,108.12,233.6408,15.285313212361729
98,152,121.2168,103.91619776000002,10.19392945629898
85,121,102.8028,31.183912160000006,5.584255739129433
82,103,90.56,20.332,4.509101906144948
9,68,51.2528,59.17129216,7.6922878365282195
54,91,65.8556,43.80194864,6.6183040607092085
62,106,79.6688,89.98950656000001,9.486279911535396
73,123,98.4904,91.40350784,9.560518178425268
94,144,121.1816,72.31662143999999,8.50391800524911
114,149,136.0016,45.919997439999996,6.776429549548936
134,170,153.876,89.334224,9.451678369474916
149,171,162.178,20.927116,4.574616486657653
139,164,147.9844,19.075356640000003,4.367534389103308
119,155,136.7612,32.160174559999994,5.670994142123583
87,139,115.3612,144.78753455999998,12.032769197487335
110,138,125.1852,38.97890096,6.243308494700546
94,129,108.3076,52.21938224,7.2262979623040735
76,107,91.2948,29.276692960000002,5.4107941154695585
8,64,45.548,81.441296,9.024483143094677
48,74,63.7532,29.795489760000002,5.458524503929611
64,97,77.0888,29.48651456,5.430148668314708
71,100,84.9432,37.38557376,6.114374355565744
78,132,95.6936,59.06451903999999,7.685344432099319
90,142,113.7552,104.87047296000001,10.240628543209642
113,159,137.742,178.716236,13.368479195480688
119,165,149.6952,32.355096960000004,5.688154090739808
129,153,141.2804,18.21537584,4.2679474973340525
120,149,134.8936,32.74467904000001,5.722296657811443
84,134,110.402,122.229996,11.055767544589566
88,136,113.9296,68.75024384,8.291576679980714
89,120,102.362,46.134156,6.792212894189934
75,98,87.036,21.229903999999998,4.607591995826019
8,46,40.424,23.389824,4.836302720053823
36,70,48.5836,67.10301104,8.191642755882363
39,92,68.1604,105.67707184000001,10.279935400575239
62,99,83.762,42.27335600000001,6.501796367158849
76,104,91.4832,29.40651776,5.4227776793816655
61,118,99.096,181.505984,13.472415670546987
72,131,113.4844,83.42815663999998,9.13390150154905
90,159,117.5828,303.83754416,17.430936410875923
114,147,133.0092,39.33071536,6.271420521700008
109,143,124.072,44.011616,6.6341251118742095
79,126,104.2756,139.01404464,11.79042173291524
72,114,93.1,116.4468,10.791051848638297
84,109,95.106,22.748364,4.76952450460211
74,96,84.108,17.069936,4.131577906805099
37,47,41.8428,4.49008816,2.1189828125777708
39,56,44.07,4.510699999999999,2.1238408603282872
42,85,57.386,56.140204000000004,7.492676691276623
59,84,67.8216,17.34817344,4.16511385678711
62,72,67.4864,2.3538150399999997,1.5342147959135317
43,107,66.9496,140.70545984,11.861933225237781
42,112,67.4352,305.94500096,17.49128357096757
53,135,113.0612,156.25185455999997,12.50007418217988
98,125,110.9336,41.72759104000001,6.459689701525918
79,113,95.0924,76.53026224,8.748157648328018
56,94,73.9512,76.13681856,8.725641441177835
69,94,84.538,25.397356,5.039578950666415
71,89,82.7072,9.795068159999998,3.129707360121709
34,44,38.2724,2.62539824,1.6203080694732097
33,42,37.9336,2.4275910400000003,1.55807286094072
32,67,46.7236,104.52560304000001,10.223776359056375
56,71,65.748,8.194096,2.8625331439129225
54,71,65.4968,9.65158976,3.106700783789775
43,95,57.6188,43.30388656,6.580568862947945
38,92,51.8576,68.02772224,8.247891987653572
66,117,99.4484,97.60573743999998,9.879561601609657
83,112,97.0136,28.779015040000004,5.364607631504843
67,100,81.7736,75.98634304,8.717014571514722
38,82,60.9316,80.30452143999999,8.961279006927526
38,86,62.1468,166.09724976,12.887872196759247
